Pre-production check start.
File: C:\Work\BombJack\V8.0\Bomb Jack - All - Routed.pdsprj
Date: 17 November 2021, 09:58:27
Missing connection: 7A:1, VIDEOP4:B29
Missing connection: VIDEOP2:B29, VIDEOH1:B29
Missing connection: VIDEOP4:B29, VIDEOP5:B29
Missing connection: VIDEOP1:B29, 7A:1
Missing connection: VIDEOP5:B29, VIDEOP2:B29
Missing connection: VIDEOP6:B29, VIDEOP3:B29
Missing connection: U216:2, PIXEL1:1
Missing connection: U383:13, 6J:1
Missing connection: LAYER2:9, U282:5
Missing connection: LAYER2:7, U282:2
Missing connection: LAYER2:5, U282:6
Missing connection: EXPANSIONBUSH1:B7, L7E6:16
Missing connection: U281:20, VIDEOP1:B1
Missing connection: VIDEOH2:B1, U165:16
Missing connection: 3M8:10, EXPANSIONBUSP4:B31
Missing connection: U44:14, VIDEOP5:B31
Missing connection: U334:16, VIDEOP3:B13
Missing connection: VIDCLK:5, VIDEOP4:B26
Missing connection: VIDEOP2:B26, VIDEOH1:B26
Missing connection: VIDEOP4:B26, VIDEOP5:B26
Missing connection: VIDEOP3:B26, VIDEOP4:B26
Missing connection: VIDEOP5:B26, VIDEOP2:B26
Missing connection: VIDEOP6:B26, VIDEOP3:B26
Missing connection: LAYER2:1, U282:1
Missing connection: U283:1, U216:6
Missing connection: 7N:5, VIDEOP4:A15
Missing connection: VIDEOP2:A15, VIDEOH1:A15
Missing connection: VIDEOP4:A15, VIDEOP5:A15
Missing connection: VIDEOP1:A15, 7N:5
Missing connection: VIDEOP5:A15, VIDEOP2:A15
Missing connection: VIDEOP6:A15, VIDEOP3:A15
Missing connection: 4T:13, 2A:9
Missing connection: U355:20, VIDEOP3:A27
Missing connection: U78:20, VIDEOP4:A27
Missing connection: VIDEOP2:A27, VIDEOH1:A27
Missing connection: VIDEOP4:A27, VIDEOP5:A27
Missing connection: VIDEOP5:A27, VIDEOP2:A27
Missing connection: VIDEOP2:B18, VIDEOH1:B18
Missing connection: L6E:11, VIDEOP4:B18
Missing connection: VIDEOP4:B18, VIDEOP5:B18
Missing connection: 7R:11, VIDEOP2:B18
Missing connection: VIDEOP5:B18, VIDEOP2:B18
Missing connection: VIDEOP6:B18, VIDEOP3:B18
Missing connection: VIDEOP2:A20, VIDEOH1:A20
Missing connection: 4T:15, VIDEOP4:A20
Missing connection: VIDEOP4:A20, VIDEOP5:A20
Missing connection: VIDEOP3:A20, VIDEOP4:A20
Missing connection: VIDEOP5:A20, VIDEOP2:A20
Missing connection: VIDEOP6:A20, VIDEOP3:A20
Missing connection: U220:6, VIDEOP4:A18
Missing connection: U284:9, U220:6
Missing connection: VIDEOP2:A18, U108:11
Missing connection: VID1:1, VIDEOP2:A18
Missing connection: VIDEOH1:A18, U120:11
Missing connection: VIDEOP6:A18, VIDEOP3:A18
Missing connection: VID1:2, VIDEOP2:A17
Missing connection: VIDEOP2:A17, VIDEOH1:A17
Missing connection: VID2:14, VIDEOP4:A17
Missing connection: VIDEOP4:A17, VIDEOP5:A17
Missing connection: U304:12, VIDEOP3:A17
Missing connection: VIDEOP3:A17, VIDEOP4:A17
Missing connection: U315:1, 4M:13
Missing connection: INRAMSEL1:3, BANKSEL4:2
Missing connection: U88:1, U85:15
Missing connection: U87:1, BANKSEL1:1
Missing connection: BANKSEL1:1, U85:15
Missing connection: 4M:11, BANKSEL5:2
Missing connection: VIDEOP2:B20, VIDEOH1:B20
Missing connection: VIDEOP4:B20, VIDEOP5:B20
Missing connection: 6F:11, VIDEOP4:B20
Missing connection: 7R:12, VIDEOP2:B20
Missing connection: VIDEOP5:B20, VIDEOP2:B20
Missing connection: VIDEOP6:B20, VIDEOP3:B20
Missing connection: U231:1, EXPANSIONBUSP5:A27
Missing connection: EXPANSIONBUSH1:A27, U91:9
Missing connection: U51:12, U55:1
Missing connection: U62:4, EXPANSIONBUSP5:A27
Missing connection: 8D2:2, EXPANSIONBUSP3:A27
Missing connection: U385:2, EXPANSIONBUSP3:A27
Missing connection: 3H:13, VIDEOP4:B24
Missing connection: VIDEOP2:B24, VIDEOH1:B24
Missing connection: VIDEOP1:B24, 7S:5
Missing connection: VIDEOP4:B24, VIDEOP5:B24
Missing connection: 4N:6, VIDEOP2:B24
Missing connection: VIDEOP6:B24, VIDEOP3:B24
Missing connection: U256:12, EXPANSIONBUSP3:A32
Missing connection: U256:12, EXPANSIONBUSP4:A32
Missing connection: EXPANSIONBUSP2:A32, EXPANSIONBUSH1:A32
Missing connection: EXPANSIONBUSP4:A32, EXPANSIONBUSP5:A32
Missing connection: EXPANSIONBUSP5:A32, EXPANSIONBUSP2:A32
